starttime;stoptime;duration;noise enable;IRR enable;SDM enable;FCW;Fout required;times FREF;Fout nor.;desv nor.;Fout total mean;desv total mean;Fout SDM mean;desv SDM mean
22:13:10;22:13:42;31,5515;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;2000,1425;142,5093;1999,9846;-15,3692;1999,9989;-1,1200
22:15:25;22:15:30;5,1578;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;2000,0256;25,5661;1999,9878;-12,1666;2000,0021;2,0894
22:16:08;22:16:38;29,7729;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9379;-62,1278;1999,9913;-8,7358;2000,0055;5,5318
22:21:11;22:21:16;5,0263;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,7333;-266,7022;1999,9819;-18,0982;1999,9962;-3,8371
22:21:53;22:22:27;33,0460;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,5872;-412,7883;1999,9881;-11,8618;2000,0024;2,3948
22:22:56;22:23:01;5,0580;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2038;2000,0036;3,6423
22:23:54;22:23:59;4,9867;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2239;2000,0036;3,6164
22:28:02;22:28:08;5,6518;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9671;-32,8978;1999,9898;-10,2035;2000,0037;3,6520
22:29:40;22:29:46;5,1987;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2245;2000,0036;3,6214
22:33:59;22:34:06;6,0568;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2168;2000,0036;3,6261
22:37:10;22:37:42;31,6871;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2468;2000,0036;3,5895
22:49:48;22:50:02;13,3176;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9897;-10,2589;2000,0036;3,5895
22:57:21;22:57:27;5,4965;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2047;2000,0036;3,5955
22:58:26;22:58:32;6,0040;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9086;-91,3566;1999,9879;-12,0955;2000,0021;2,1428
22:59:01;22:59:05;4,3059;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9379;-62,1278;1999,9838;-16,2249;1999,9980;-1,9667
23:03:06;23:03:11;5,3780;Ativado;Ativado;Ativado;76,923077;2000,0000;5000,000;1999,9963;-3,6665;1999,9898;-10,2056;2000,0036;3,5908
23:30:37;23:31:08;31,1393;Ativado;Ativado;Ativado;76,923077;2000,0000;30000,000;1999,9963;-3,6665;1999,9983;-1,7309;2000,0007;0,6769
23:33:58;23:34:27;29,2406;Ativado;Ativado;Ativado;76,923077;2000,0000;30000,000;1999,9963;-3,6665;1999,9983;-1,7462;2000,0007;0,6604
23:39:27;23:39:34;7,0246;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9914;-8,5605;2000,0029;2,9195
23:41:07;23:41:13;6,7461;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,4604;2000,0030;3,0247
23:42:13;23:42:21;8,1593;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,5302;2000,0030;2,9519
23:52:12;23:52:20;8,1261;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9914;-8,5917;2000,0029;2,8869
00:20:01;00:20:08;7,0822;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,4685;2000,0030;3,0141
00:24:38;00:24:51;13,0468;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9916;-8,4351;2000,0031;3,0521
00:39:50;00:39:56;6,0882;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,4894;2000,0030;2,9923
00:41:02;00:41:08;5,8532;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;2000,0256;25,5661;1999,9911;-8,8846;2000,0031;3,0513
00:44:43;00:44:49;6,7732;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,4710;2000,0030;3,0128
09:02:41;09:02:51;10,1385;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9916;-8,4206;2000,0031;3,0635
09:03:23;09:03:32;9,8819;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,5263;2000,0030;2,9524
09:06:01;09:06:07;5,4090;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9916;-8,4493;2000,0030;3,0366
09:44:29;09:44:35;5,5718;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,5347;2000,0029;2,9470
09:58:14;09:58:21;7,0799;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9379;-62,1278;1999,9917;-8,2665;2000,0037;3,6688
10:07:43;10:07:49;5,8144;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9914;-8,5924;2000,0029;2,8885
14:56:36;14:56:42;6,3851;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,4680;2000,0030;3,0135
15:17:00;15:17:06;5,1613;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,5320;2000,0029;2,9485
15:21:46;15:25:08;202,1212;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9916;-8,3561;2000,0031;3,1314
15:27:40;15:27:49;8,7946;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1776,7469;-223253,0972;1763,6146;-236385,4166
15:32:09;15:32:15;6,2677;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9915;-8,4658;2000,0030;3,0192
15:37:49;15:37:56;6,2236;Ativado;Ativado;Ativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;1999,9614;-38,5914
15:50:50;15:50:52;2,5807;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
15:56:18;15:56:20;2,4161;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
16:02:36;16:02:39;3,0700;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
18:19:49;18:19:51;2,5241;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
18:20:13;18:20:18;5,1866;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
18:23:33;18:23:36;2,2672;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
18:26:10;18:26:12;2,1638;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
18:28:50;18:28:53;2,9112;Ativado;Ativado;Desativado;76,923077;2000,0000;6000,000;1999,9963;-3,6665;1999,9631;-36,8650;0,0000;0,0000
